"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Female"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"Total - Occupation - National Occupational Classification (NOC) 2011",13964170,9051490,26570,33873,8465740,27915,34436 
"  Occupation - Not applicable [9]",4751445,467410,2041,9694,373705,2326,10886 
"  All occupations [10]",9212730,8584075,28199,35190,8092030,29261,35523 
"    0 Management occupations",774370,729055,46490,57154,667940,49359,60156 
"      00 Senior management occupations",62140,58205,69067,97406,55330,70903,99528 
"        001 Legislators and senior management",62140,58210,69067,97406,55330,70903,99528 
"          0011 Legislators",2845,2705,31866,45852,2675,32004,45831 
"          0012 Senior government managers and officials",9980,9620,73279,81657,9565,73264,81665 
"          0013 Senior managers - financial, communications and other business services",14305,13160,93655,133356,12185,99237,139228 
"          0014 Senior managers - health, education, social and community services and membership organizations",15245,14650,69383,81451,14255,69983,82238 
"          0015 Senior managers - trade, broadcasting and other services, n.e.c.",12115,11135,52084,87763,10220,54102,91699 
"          0016 Senior managers - construction, transportation, production and utilities",7650,6940,75458,120290,6430,79899,123979 
"      01-05 Specialized middle management occupations",338910,326895,64978,70200,314370,66062,71247 
"        011 Administrative services managers",100730,97575,66194,73288,95855,66579,73722 
"          0111 Financial managers",43410,41980,65830,74293,41090,66218,74670 
"          0112 Human resources managers",35260,34155,71278,76424,33790,71729,76801 
"          0113 Purchasing managers",5020,4900,67870,74439,4845,67952,74620 
"          0114 Other administrative services managers",17035,16540,56897,63922,16130,57252,64581 
"        012 Managers in financial and business services",106165,102085,58569,66001,94730,59932,67628 
"          0121 Insurance, real estate and financial brokerage managers",23155,21630,54414,62087,16020,60341,68239 
"          0122 Banking, credit and other investment managers",44655,43480,57920,67858,43100,58104,68090 
"          0124 Advertising, marketing and public relations managers",31570,30530,61423,66720,29505,62331,67369 
"          0125 Other business services managers",6780,6450,57422,63195,6100,58234,63998 
"        013 Managers in communication (except broadcasting)",6125,5920,69802,70046,5800,69957,70365 
"          0131 Telecommunication carriers managers",4520,4360,72159,73499,4320,72083,73412 
"          0132 Postal and courier services managers",1605,1560,56239,60415,1480,57014,61470 
"        021 Managers in engineering, architecture, science and information systems",18705,17965,85023,88196,17655,85225,88722 
"          0211 Engineering managers",2365,2275,81820,87592,2240,82543,88090 
"          0212 Architecture and science managers",3240,3090,74278,78275,3000,75618,79744 
"          0213 Computer and information systems managers",13100,12600,87382,90738,12420,87446,91005 
"        031 Managers in health care",21175,20400,77697,75602,19875,78379,75688 
"          0311 Managers in health care",21175,20395,77697,75602,19875,78379,75688 
"        041 Managers in public administration",12815,12500,85444,84826,12450,85603,84974 
"          0411 Government managers - health and social policy development and program administration",3725,3660,88604,87048,3640,88919,87414 
"          0412 Government managers - economic analysis, policy development and program administration",4040,3960,84342,83920,3950,84470,84023 
"          0413 Government managers - education policy development and program administration",630,630,87614,85982,625,87614,86009 
"          0414 Other managers in public administration",4415,4250,84587,83587,4240,84642,83609 
"        042 Managers in education and social and community services",52075,50360,67556,68615,48890,68893,69686 
"          0421 Administrators - post-secondary education and vocational training",10315,9960,63817,67650,9780,64250,67928 
"          0422 School principals and administrators of elementary and secondary education",19505,18970,90483,85497,18685,90984,86273 
"          0423 Managers in social, community and correctional services",22255,21435,51078,54124,20430,52018,55357 
"        043 Managers in public protection services",4370,4260,65045,63716,4250,65033,63708 
"          0431 Commissioned police officers",465,465,84008,75809,465,84008,76023 
"          0432 Fire chiefs and senior firefighting officers",115,110,71802,65733,115,71802,65684 
"          0433 Commissioned officers of the Canadian Forces",3790,3680,63441,62132,3670,63395,62092 
"        051 Managers in art, culture, recreation and sport",16755,15830,40849,46155,14860,42348,47790 
"          0511 Library, archive, museum and art gallery managers",3580,3410,53246,54091,3265,53708,55897 
"          0512 Managers - publishing, motion pictures, broadcasting and performing arts",5760,5350,46132,51582,4860,49238,54449 
"          0513 Recreation, sports and fitness program and service directors",7420,7065,33138,38217,6735,34652,39058 
"      06 Middle management occupations in retail and wholesale trade and customer services",281050,261960,31232,37371,237550,32896,39438 
"        060 Corporate sales managers",23170,22400,62198,71932,21535,64111,73893 
"          0601 Corporate sales managers",23170,22400,62198,71932,21535,64111,73893 
"        062 Retail and wholesale trade managers",165725,154495,31180,36045,140500,32586,37966 
"          0621 Retail and wholesale trade managers",165725,154495,31180,36045,140500,32586,37966 
"        063 Managers in food service and accommodation",74675,68990,27304,30990,63115,28666,32411 
"          0631 Restaurant and food service managers",61610,57125,26770,30276,52495,27930,31479 
"          0632 Accommodation service managers",13065,11865,30571,34428,10620,33627,37019 
"        065 Managers in customer and personal services, n.e.c.",17475,16065,24742,29337,12405,27910,32052 
"          0651 Managers in customer and personal services, n.e.c.",17480,16065,24742,29337,12410,27910,32052 
"      07-09 Middle management occupations in trades, transportation, production and utilities",92265,81995,30006,39770,60690,39348,47904 
"        071 Managers in construction and facility operation and maintenance",19740,18350,44892,50645,16935,46448,52343 
"          0711 Construction managers",7690,7150,48726,56142,6505,49538,57970 
"          0712 Home building and renovation managers",2315,2030,24221,36023,1505,31638,41419 
"          0714 Facility operation and maintenance managers",9735,9170,46057,49595,8930,46333,50090 
"        073 Managers in transportation",7385,7030,55356,58971,6700,56403,60621 
