"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) = Total - Sex"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"Total - Occupation - National Occupational Classification (NOC) 2011",27259525,18820310,31603,41795,17442675,33094,42445 
"  Occupation - Not applicable [9]",8126215,987820,1229,9840,816635,1251,10906 
"  All occupations [10]",19133310,17832495,33542,43565,16626040,34819,43994 
"    0 Management occupations",2056200,1932340,54085,73165,1723750,59235,78439 
"      00 Senior management occupations",226835,210780,83677,138065,198090,86824,142434 
"        001 Legislators and senior management",226830,210780,83677,138065,198090,86824,142434 
"          0011 Legislators",8520,8025,40485,56003,7885,40446,56169 
"          0012 Senior government managers and officials",21635,20875,89622,97517,20670,89852,97974 
"          0013 Senior managers - financial, communications and other business services",58685,53850,103183,160560,49580,109701,167434 
"          0014 Senior managers - health, education, social and community services and membership organizations",27025,25870,76417,96268,25205,77065,96795 
"          0015 Senior managers - trade, broadcasting and other services, n.e.c.",53085,49030,69571,125102,45000,74382,130986 
"          0016 Senior managers - construction, transportation, production and utilities",57885,53125,90078,175909,49750,96267,183133 
"      01-05 Specialized middle management occupations",685535,659445,74218,84068,631295,75556,85494 
"        011 Administrative services managers",181485,175460,73839,84538,172220,74434,84934 
"          0111 Financial managers",78490,75735,75964,90078,74035,76701,90456 
"          0112 Human resources managers",54765,53005,75248,82615,52400,75802,82979 
"          0113 Purchasing managers",15975,15505,74953,84906,15325,75187,85205 
"          0114 Other administrative services managers",32260,31215,64830,74177,30460,65205,74739 
"        012 Managers in financial and business services",205720,196120,64750,85314,178425,67231,88525 
"          0121 Insurance, real estate and financial brokerage managers",52475,48650,58745,77691,35500,67765,86851 
"          0122 Banking, credit and other investment managers",78480,76090,66291,98088,74945,66845,98823 
"          0124 Advertising, marketing and public relations managers",60540,58010,67194,76959,55510,68856,78450 
"          0125 Other business services managers",14230,13380,61113,76612,12470,62351,76249 
"        013 Managers in communication (except broadcasting)",18655,17905,76963,83085,17400,77774,84229 
"          0131 Telecommunication carriers managers",14040,13555,80392,88551,13385,80688,88974 
"          0132 Postal and courier services managers",4620,4350,62881,66054,4020,66576,68421 
"        021 Managers in engineering, architecture, science and information systems",82875,80085,92659,102136,78590,93222,103076 
"          0211 Engineering managers",18820,18150,105226,121257,17850,106216,122363 
"          0212 Architecture and science managers",8095,7740,82736,90159,7510,83761,91622 
"          0213 Computer and information systems managers",55965,54195,90579,97444,53230,91001,98225 
"        031 Managers in health care",28625,27510,78940,78930,26765,79478,78815 
"          0311 Managers in health care",28630,27510,78940,78930,26760,79478,78815 
"        041 Managers in public administration",27770,27100,88706,89275,26850,88956,89559 
"          0411 Government managers - health and social policy development and program administration",6170,6060,90938,90523,6015,91127,90549 
"          0412 Government managers - economic analysis, policy development and program administration",9300,9075,87596,90054,9015,87808,90449 
"          0413 Government managers - education policy development and program administration",1175,1160,92771,93889,1145,93193,94763 
"          0414 Other managers in public administration",11120,10805,87765,87426,10675,87871,87692 
