"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Male"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"Total - Occupation - National Occupational Classification (NOC) 2011",13295355,9768825,37337,49134,8976930,39257,49998 
"  Occupation - Not applicable [9]",3374775,520410,847,9971,442925,866,10923 
"  All occupations [10]",9920585,9248420,39669,51338,8534005,41016,52026 
"    0 Management occupations",1281835,1203290,60078,82866,1055805,66538,90006 
"      00 Senior management occupations",164690,152580,90516,153576,142760,95614,159063 
"        001 Legislators and senior management",164695,152580,90516,153576,142765,95614,159063 
"          0011 Legislators",5680,5325,44495,61152,5205,44564,61484 
"          0012 Senior government managers and officials",11655,11255,100351,111080,11105,100950,112013 
"          0013 Senior managers - financial, communications and other business services",44375,40695,107927,169359,37395,115226,176627 
"          0014 Senior managers - health, education, social and community services and membership organizations",11780,11220,90691,115620,10945,91703,115756 
"          0015 Senior managers - trade, broadcasting and other services, n.e.c.",40975,37900,76000,136069,34785,80946,142525 
"          0016 Senior managers - construction, transportation, production and utilities",50235,46190,93061,184261,43325,99017,191909 
"      01-05 Specialized middle management occupations",346625,332550,83310,97699,316930,85093,99625 
"        011 Administrative services managers",80755,77885,83964,98630,76365,84478,99007 
"          0111 Financial managers",35075,33750,89710,109711,32940,90227,110147 
"          0112 Human resources managers",19505,18850,84153,93833,18605,84622,94199 
"          0113 Purchasing managers",10950,10610,78510,89738,10485,78817,90095 
